song,artist,price,downloads,total_amount,month,year,company
Osobola,Bobi Wine and Nubian Li,700,4,2800,November,2021,MTN
Energy,Geosteady ft Dr Jose Chameleon,700,4,2800,November,2021,MTN
Tolina Kyongamba,Slick Stuart and Roja ft Lilian Mbabazi,700,4,2800,November,2021,MTN
CoronaVirus Alert,Bobi Wine ft Nubian Li,700,4,2800,November,2021,MTN
Kyoyooyo,Nina Roz,700,4,2800,November,2021,MTN
Sikyakusobola,King Saha,700,4,2800,November,2021,MTN
Nakuwona,Aidah Mugo,700,4,2800,November,2021,MTN
Same Way,Geosteady ft Lydia Jasmine,700,4,2800,November,2021,MTN
Manyi Ga Mukyala,Desire Luzinda,700,4,2800,November,2021,MTN
Thank You Lord,Abigail and Alvan,700,4,2800,November,2021,MTN
Nesiga,Shamy K ft Victor Ruz,700,4,2800,November,2021,MTN
IDD MUBARAK,Swahaba Kasumba,700,4,2800,November,2021,MTN
Omusiibi,Swahaba Kasumba,700,4,2800,November,2021,MTN
Nkutumidde,Bakri,700,4,2800,November,2021,MTN
Tali Busy,Judith Babirye,700,4,2800,November,2021,MTN
Ker Alur,Bushy King,700,4,2800,November,2021,MTN
Sitani Tonkema,Roden Y ft Sheebah and Fik Fameica,700,4,2800,November,2021,MTN
Love Science,Sophia Nantongo,700,4,2800,November,2021,MTN
sentala REMIX,Harriet Kisakye,700,4,2800,November,2021,MTN
First Born,Sophie Nantongo,700,4,2800,November,2021,MTN
Kijja Kugwa,Julie Muteesasira,700,4,2800,November,2021,MTN
Mbulila,Evelyn Lagu,700,4,2800,November,2021,MTN
Ninkusiima,Kigoowa Church Choir,700,4,2800,November,2021,MTN
Omugenyi,Izon T,700,4,2800,November,2021,MTN
Tobaganya Kunsekerera,Judith Babirye,700,4,2800,November,2021,MTN
Sita Rudi Nyuma,Judith Babirye 2015Dmark,700,4,2800,November,2021,MTN
Waddawa,Chozen ft Sheebah,700,4,2800,November,2021,MTN
Ekisanjja Tukimwongere,Rayz Pro,700,4,2800,November,2021,MTN
Oxygen ,Aziz Azion,700,4,2800,November,2021,MTN
Oli Busy,Ronald Mayinja,700,4,2800,November,2021,MTN
Pain Killer,Aziz Azion,700,4,2800,November,2021,MTN
Wampisa,Aziz Azion,700,4,2800,November,2021,MTN
Mazi Mawanvu,Bobie Wine ,700,4,2800,November,2021,MTN
Lydia 2,Ronald Mayinja,700,4,2800,November,2021,MTN
Banange,Ykee Benda ft Lydia Jazmine,700,4,2800,November,2021,MTN
Ajuki Kwe,Striker Tresino,700,3,2100,November,2021,MTN
Ambulance,Balomy Treable and Unit Brothers,700,3,2100,November,2021,MTN
Act Jr Sch,Don Andrea,700,3,2100,November,2021,MTN
Singa simukama,Izon T,700,3,2100,November,2021,MTN
Energy,Geosteady ft Jose. C,700,3,2100,November,2021,MTN
Beera Mugumu,Willy Mukabya,700,3,2100,November,2021,MTN
Kwo Lobo,EeZzy,700,3,2100,November,2021,MTN
Akwagala,Victor Ruz ft Chosen Becky,700,3,2100,November,2021,MTN
Omutandise Wange,Pr Brian Twinomujuni,700,3,2100,November,2021,MTN
Rwot Yecu,OJ Murugut,700,3,2100,November,2021,MTN
Universal M Ent Ltd,Don Andrea,700,3,2100,November,2021,MTN
Very Well,Slick Stuart and Roja ft King Saha,700,3,2100,November,2021,MTN
Tevunya,Sheebah ft Fik Fameica,700,3,2100,November,2021,MTN
Happy Birthday,Pallaso,700,3,2100,November,2021,MTN
Fian Motors,Brand Xclusive,700,3,2100,November,2021,MTN
SMK Eng,Don Andrea,700,3,2100,November,2021,MTN
